timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
6 3 8 0.3830178884433914 0.016982111556608614
21 1 12 0.3555458117554418 0.04445418824455821
21 14 16 0.3802277539376621 0.019772246062337906
22 1 12 0.37412894936247143 0.025871050637528592
22 14 16 0.3724189557186099 0.027581044281390132
24 1 17 0.3969734387732613 0.003026561226738722
36 5 7 0.36235240551692727 0.037647594483072755
37 5 7 0.3144297607985979 0.08557023920140211
37 9 18 0.3709174408783022 0.029082559121697826
38 5 7 0.26696288557567643 0.1330371144243236
39 5 7 0.2159085711791074 0.18409142882089263
40 5 7 0.22901212809233734 0.17098787190766268
41 5 7 0.33602201952562866 0.06397798047437137
