timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 1 6 0.39181875361957524 0.008181246380424778
1 4 12 0.38607115259142866 0.013928847408571365
1 11 27 0.3998635926047084 1.364073952916378E-4
2 1 6 0.37899085704258717 0.021009142957412852
2 4 12 0.38532311902137795 0.014676880978622076
2 8 18 0.3840865851114756 0.015913414888524435
2 11 27 0.39831123449132927 0.0016887655086707531
3 1 6 0.3655854119228561 0.034414588077143926
3 4 12 0.3870877168449885 0.012912283155011528
3 8 18 0.364740195128353 0.03525980487164704
3 11 27 0.39981087899371437 1.8912100628565298E-4
4 1 6 0.3764937544470582 0.02350624555294184
4 4 12 0.39166347013932906 0.00833652986067096
